400	1	1	static	0.955093
400	1	1	guided	1.108875
400	1	1	dynamic	0.884900
400	1	10	static	0.889503
400	1	10	guided	0.882137
400	1	10	dynamic	0.875578
400	1	50	static	0.880631
400	1	50	guided	0.899553
400	1	50	dynamic	0.889155
400	4	1	static	0.391190
400	4	1	guided	0.365354
400	4	1	dynamic	0.379105
400	4	10	static	0.403481
400	4	10	guided	0.374506
400	4	10	dynamic	0.409845
400	4	50	static	0.440275
400	4	50	guided	0.439551
400	4	50	dynamic	0.467677
400	9	1	static	0.377330
400	9	1	guided	0.317218
400	9	1	dynamic	0.305645
400	9	10	static	0.374882
400	9	10	guided	0.332380
400	9	10	dynamic	0.297470
400	9	50	static	0.342058
400	9	50	guided	0.357485
400	9	50	dynamic	0.327828
400	16	1	static	0.333992
400	16	1	guided	0.374655
400	16	1	dynamic	0.329386
400	16	10	static	0.342054
400	16	10	guided	0.379534
400	16	10	dynamic	0.344219
400	16	50	static	0.395013
400	16	50	guided	0.404962
400	16	50	dynamic	0.341668
1000	1	1	static	5.595185
1000	1	1	guided	5.806120
1000	1	1	dynamic	6.004685
1000	1	10	static	5.803780
1000	1	10	guided	5.716792
1000	1	10	dynamic	5.518798
1000	1	50	static	5.586967
1000	1	50	guided	5.571605
1000	1	50	dynamic	5.586792
1000	4	1	static	2.051078
1000	4	1	guided	1.974924
1000	4	1	dynamic	2.120468
1000	4	10	static	2.215895
1000	4	10	guided	2.156767
1000	4	10	dynamic	1.959358
1000	4	50	static	2.165429
1000	4	50	guided	2.121728
1000	4	50	dynamic	2.088184
1000	9	1	static	1.758923
1000	9	1	guided	1.747623
1000	9	1	dynamic	1.750339
1000	9	10	static	1.804446
1000	9	10	guided	1.745881
1000	9	10	dynamic	1.754209
1000	9	50	static	1.804762
1000	9	50	guided	1.843126
1000	9	50	dynamic	1.775055
1000	16	1	static	1.795982
1000	16	1	guided	1.777134
1000	16	1	dynamic	1.775639
1000	16	10	static	1.801655
1000	16	10	guided	1.763424
1000	16	10	dynamic	1.751919
1000	16	50	static	1.791506
1000	16	50	guided	1.749654
1000	16	50	dynamic	1.791974
